,id,playlist,artist,explicit,name,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,time_signature
0iwsQWgtjSq2kUXuZwTDAL,0iwsQWgtjSq2kUXuZwTDAL,omw to fuck up the patriarchy 💃🏻,Madison Beer,False,Home with You,2018-02-02,80,0.631,0.599,7,-6.137,0,0.0878,0.067,0.0,0.0952,0.727,170.122,audio_features,spotify:track:0iwsQWgtjSq2kUXuZwTDAL,4
3IcIIZMMS7UArJJPtEHXG8,3IcIIZMMS7UArJJPtEHXG8,omw to fuck up the patriarchy 💃🏻,Mariah Carey,False,Obsessed,2009-01-01,60,0.742,0.471,1,-5.513,1,0.0695,0.0517,0.0,0.862,0.384,86.467,audio_features,spotify:track:3IcIIZMMS7UArJJPtEHXG8,4
2eNLA561KGwOMhFSxMiyv4,2eNLA561KGwOMhFSxMiyv4,omw to fuck up the patriarchy 💃🏻,Zak Abel,False,Running From Myself,2015-08-28,31,0.816,0.754,9,-5.745,0,0.334,0.0826,1.81e-06,0.026,0.567,113.918,audio_features,spotify:track:2eNLA561KGwOMhFSxMiyv4,4
1KGi9sZVMeszgZOWivFpxs,1KGi9sZVMeszgZOWivFpxs,omw to fuck up the patriarchy 💃🏻,TLC,False,No Scrubs,1999-02-23,79,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,audio_features,spotify:track:1KGi9sZVMeszgZOWivFpxs,4
1ohlbpNCsuqstbqsezNdUI,1ohlbpNCsuqstbqsezNdUI,omw to fuck up the patriarchy 💃🏻,Jacob Banks,False,Mercy,2017-04-20,47,0.403,0.651,8,-5.24,0,0.109,0.897,1.17e-05,0.0688,0.424,125.795,audio_features,spotify:track:1ohlbpNCsuqstbqsezNdUI,4
0uII79GWhvmTIvruhfIXlf,0uII79GWhvmTIvruhfIXlf,omw to fuck up the patriarchy 💃🏻,Nao,False,Fool to Love,2016-07-29,58,0.542,0.558,11,-6.654,0,0.262,0.265,0.0,0.117,0.758,94.11,audio_features,spotify:track:0uII79GWhvmTIvruhfIXlf,4
11Z7DsmzTwKIEbSSnPwH1C,11Z7DsmzTwKIEbSSnPwH1C,omw to fuck up the patriarchy 💃🏻,Arctic Monkeys,False,Knee Socks,2013-09-09,7,0.665,0.542,11,-8.323,0,0.033,0.123,0.00291,0.342,0.587,97.975,audio_features,spotify:track:11Z7DsmzTwKIEbSSnPwH1C,4
1aJIrQJtUxakQHjqZzRCNX,1aJIrQJtUxakQHjqZzRCNX,omw to fuck up the patriarchy 💃🏻,The Last Goodnight,False,Poison Kiss,2007-01-01,21,0.714,0.783,9,-3.957,0,0.035,0.169,0.0,0.0763,0.959,117.679,audio_features,spotify:track:1aJIrQJtUxakQHjqZzRCNX,4
0uEp9E98JB5awlA084uaIg,0uEp9E98JB5awlA084uaIg,omw to fuck up the patriarchy 💃🏻,Ms. Lauryn Hill,False,Doo Wop (That Thing),1998-08-25,73,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,audio_features,spotify:track:0uEp9E98JB5awlA084uaIg,4
4y6c5vMzKKM3KsMbHtjKx5,4y6c5vMzKKM3KsMbHtjKx5,omw to fuck up the patriarchy 💃🏻,Kanye West,True,Stronger,2007-01-01,77,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,spotify:track:4y6c5vMzKKM3KsMbHtjKx5,4
0mYNxaedZsptTWmaqy2PoB,0mYNxaedZsptTWmaqy2PoB,omw to fuck up the patriarchy 💃🏻,Kiana Ledé,True,Big Spender (feat. Prince Charlez),2018-02-09,60,0.724,0.749,1,-5.396,0,0.23,0.12,0.000425,0.352,0.859,161.983,audio_features,spotify:track:0mYNxaedZsptTWmaqy2PoB,4
1iCXkG4xio9W5zCq85rdvf,1iCXkG4xio9W5zCq85rdvf,omw to fuck up the patriarchy 💃🏻,Vanessa Hudgens,False,Never Underestimate A Girl,2006-01-01,30,0.8,0.648,6,-3.887,0,0.0319,0.0161,3.98e-05,0.1,0.667,126.036,audio_features,spotify:track:1iCXkG4xio9W5zCq85rdvf,4
4VjJwjz8WHPOMvLCkN69zA,4VjJwjz8WHPOMvLCkN69zA,omw to fuck up the patriarchy 💃🏻,NIKI,True,Newsflash!,2018-05-23,56,0.734,0.373,7,-8.997,0,0.146,0.086,0.0,0.0913,0.481,79.998,audio_features,spotify:track:4VjJwjz8WHPOMvLCkN69zA,4
1CmhkiXegdbj3Ewizvdg2Q,1CmhkiXegdbj3Ewizvdg2Q,omw to fuck up the patriarchy 💃🏻,grandson,False,Best Friends,2017-04-12,64,0.506,0.932,5,-6.11,0,0.11,0.000719,0.0594,0.174,0.549,99.929,audio_features,spotify:track:1CmhkiXegdbj3Ewizvdg2Q,4
3CwY9duCa29ye9TDno8mXT,3CwY9duCa29ye9TDno8mXT,omw to fuck up the patriarchy 💃🏻,JoJo,True,High Heels.,2016-10-14,62,0.455,0.719,8,-5.03,1,0.169,0.00312,3.58e-05,0.165,0.637,179.89,audio_features,spotify:track:3CwY9duCa29ye9TDno8mXT,3
2iUb7DLswcEXEmsdD878no,2iUb7DLswcEXEmsdD878no,omw to fuck up the patriarchy 💃🏻,Whethan,False,Aftertaste (feat. Opia),2017-12-15,60,0.536,0.644,4,-6.28,1,0.191,0.292,8.34e-06,0.0802,0.607,113.317,audio_features,spotify:track:2iUb7DLswcEXEmsdD878no,5
7iCeaYJSEdGWeFNTAEqUzJ,7iCeaYJSEdGWeFNTAEqUzJ,omw to fuck up the patriarchy 💃🏻,ZAYN,True,wRoNg,2016-03-25,66,0.614,0.475,7,-8.642,0,0.0362,0.395,1.06e-06,0.265,0.422,99.968,audio_features,spotify:track:7iCeaYJSEdGWeFNTAEqUzJ,4
4n6m58T4smiRVdjH6VAwaV,4n6m58T4smiRVdjH6VAwaV,omw to fuck up the patriarchy 💃🏻,Dan Caplen,True,Two Fingers,2017-12-06,42,0.685,0.784,11,-3.239,0,0.0474,0.137,0.0,0.259,0.712,98.074,audio_features,spotify:track:4n6m58T4smiRVdjH6VAwaV,4
25qfFpoGhk9Njgu5nl36sS,25qfFpoGhk9Njgu5nl36sS,omw to fuck up the patriarchy 💃🏻,Christina Aguilera,False,Fall In Line,2018-05-16,75,0.39,0.631,9,-4.701,0,0.0769,0.209,0.0,0.277,0.197,123.042,audio_features,spotify:track:25qfFpoGhk9Njgu5nl36sS,3
3ZYrI2prWaAm1RbpCqZzlO,3ZYrI2prWaAm1RbpCqZzlO,omw to fuck up the patriarchy 💃🏻,Son Tung M-TP,False,CHẠY NGAY ĐI - Onionn Remix,2018-07-05,43,0.758,0.908,2,-1.497,0,0.0352,0.257,0.0,0.0759,0.88,124.982,audio_features,spotify:track:3ZYrI2prWaAm1RbpCqZzlO,4
2v8X6L6j0kbUPXDZwtXvXU,2v8X6L6j0kbUPXDZwtXvXU,omw to fuck up the patriarchy 💃🏻,Arctic Monkeys,False,Why'd You Only Call Me When You're High?,2013-09-09,13,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,spotify:track:2v8X6L6j0kbUPXDZwtXvXU,4
1J6qx3lW73gKIkxkRyZJnc,1J6qx3lW73gKIkxkRyZJnc,omw to fuck up the patriarchy 💃🏻,Ella Eyre,False,Deeper,2015-01-12,23,0.633,0.667,8,-7.269,0,0.0968,0.296,0.0,0.118,0.738,150.049,audio_features,spotify:track:1J6qx3lW73gKIkxkRyZJnc,4
3CFCWeaeVyRSVSg72RUpJx,3CFCWeaeVyRSVSg72RUpJx,omw to fuck up the patriarchy 💃🏻,Parson James,False,Sinner Like You,2015-07-17,37,0.672,0.775,0,-5.758,0,0.0409,0.119,0.0,0.0688,0.765,105.019,audio_features,spotify:track:3CFCWeaeVyRSVSg72RUpJx,4
318CwhlHyuxroBtuoeh3oR,318CwhlHyuxroBtuoeh3oR,omw to fuck up the patriarchy 💃🏻,Bishop Briggs,False,Dead Man's Arms,2017-04-14,49,0.562,0.525,2,-5.956,0,0.0277,0.223,0.0,0.105,0.271,67.512,audio_features,spotify:track:318CwhlHyuxroBtuoeh3oR,4
1Tt4sE4pXi57mTD1GCzsqm,1Tt4sE4pXi57mTD1GCzsqm,omw to fuck up the patriarchy 💃🏻,Rihanna,True,Needed Me,2016-01-28,72,0.688,0.325,5,-8.083,0,0.251,0.107,0.0,0.0837,0.275,110.888,audio_features,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,4
5nMBzG9xVnJZTpZKgnWCec,5nMBzG9xVnJZTpZKgnWCec,omw to fuck up the patriarchy 💃🏻,Kiana Ledé,True,Fairplay,2017-10-27,57,0.719,0.654,5,-5.92,0,0.14,0.534,8.01e-05,0.162,0.616,139.829,audio_features,spotify:track:5nMBzG9xVnJZTpZKgnWCec,4
3gkgU3IY8g6fZ34U4kHWJ6,3gkgU3IY8g6fZ34U4kHWJ6,omw to fuck up the patriarchy 💃🏻,Mahalia,False,Independence Day,2016-12-16,38,0.69,0.859,7,-2.427,0,0.0896,0.268,1.56e-05,0.351,0.778,90.004,audio_features,spotify:track:3gkgU3IY8g6fZ34U4kHWJ6,4
7clyJIrLkEbXUDwj1tC9zz,7clyJIrLkEbXUDwj1tC9zz,omw to fuck up the patriarchy 💃🏻,grandson,False,Blood // Water,2018-06-15,68,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,audio_features,spotify:track:7clyJIrLkEbXUDwj1tC9zz,4
0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,some sappy ass shit,Ed Sheeran,False,Perfect,2017-03-03,89,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,3
543esqtLQe6Snzxej1QnPM,543esqtLQe6Snzxej1QnPM,some sappy ass shit,Lawrence,False,Do You Wanna Do Nothing with Me?,2017-02-24,49,0.549,0.611,1,-9.0,0,0.131,0.17,0.00251,0.0762,0.725,201.981,audio_features,spotify:track:543esqtLQe6Snzxej1QnPM,4
5EYi2rH4LYs6M21ZLOyQTx,5EYi2rH4LYs6M21ZLOyQTx,some sappy ass shit,Rex Orange County,True,Loving Is Easy,2017-10-11,77,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,audio_features,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,4
005GaX6hvgeTFnR9FvejTE,005GaX6hvgeTFnR9FvejTE,some sappy ass shit,Stephen Day,False,Hey Lady,2016-04-08,45,0.782,0.341,3,-7.646,1,0.0311,0.277,0.000111,0.109,0.709,97.044,audio_features,spotify:track:005GaX6hvgeTFnR9FvejTE,4
4VywXu6umkIQ2OS0m1I79y,4VywXu6umkIQ2OS0m1I79y,some sappy ass shit,Jack Johnson,False,Better Together,2005-01-01,69,0.866,0.347,7,-9.553,0,0.0685,0.291,7.01e-06,0.109,0.616,110.063,audio_features,spotify:track:4VywXu6umkIQ2OS0m1I79y,4
3bH4HzoZZFq8UpZmI2AMgV,3bH4HzoZZFq8UpZmI2AMgV,some sappy ass shit,John Mayer,False,New Light,2018-05-10,88,0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,audio_features,spotify:track:3bH4HzoZZFq8UpZmI2AMgV,4
7gdwoOmi258QJq0hmQ4hto,7gdwoOmi258QJq0hmQ4hto,some sappy ass shit,Taylor Swift,False,Everything Has Changed,2012-01-01,57,0.471,0.47,6,-6.626,1,0.0297,0.372,1.83e-06,0.333,0.451,79.539,audio_features,spotify:track:7gdwoOmi258QJq0hmQ4hto,4
1Slwb6dOYkBlWal1PGtnNg,1Slwb6dOYkBlWal1PGtnNg,some sappy ass shit,Ed Sheeran,False,Thinking Out Loud,2013-01-01,66,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,audio_features,spotify:track:1Slwb6dOYkBlWal1PGtnNg,4
2rd4FH1cSaWGc0ZiUaMbX9,2rd4FH1cSaWGc0ZiUaMbX9,some sappy ass shit,Phum Viphurit,False,Lover Boy,2018-03-22,62,0.798,0.556,11,-8.597,1,0.0303,0.527,0.000353,0.0959,0.627,109.994,audio_features,spotify:track:2rd4FH1cSaWGc0ZiUaMbX9,4
2NfLgvpXpGKAcOAQwMPzez,2NfLgvpXpGKAcOAQwMPzez,some sappy ass shit,Stephen Day,False,Tonight,2016-04-08,46,0.758,0.451,4,-7.467,0,0.0414,0.541,0.00283,0.11,0.292,122.098,audio_features,spotify:track:2NfLgvpXpGKAcOAQwMPzez,4
54Yappwod1fELR5zb2gDBn,54Yappwod1fELR5zb2gDBn,some sappy ass shit,Marc E. Bassy,False,Morning,2016-08-05,68,0.37,0.444,10,-8.209,1,0.185,0.574,0,0.182,0.363,76.091,audio_features,spotify:track:54Yappwod1fELR5zb2gDBn,4
3XVBdLihbNbxUwZosxcGuJ,3XVBdLihbNbxUwZosxcGuJ,some sappy ass shit,Alicia Keys,False,If I Ain't Got You,2003-12-01,78,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,audio_features,spotify:track:3XVBdLihbNbxUwZosxcGuJ,3
5EXD5rXJ4IVb8g4xSwT0fc,5EXD5rXJ4IVb8g4xSwT0fc,some sappy ass shit,Stephen Day,False,If You Were the Rain,2016-04-08,43,0.481,0.412,9,-8.413,1,0.0401,0.611,5.91e-05,0.0998,0.326,84.358,audio_features,spotify:track:5EXD5rXJ4IVb8g4xSwT0fc,4
4Hhv2vrOTy89HFRcjU3QOx,4Hhv2vrOTy89HFRcjU3QOx,some sappy ass shit,Etta James,False,At Last - Single Version,1960-01-01,68,0.171,0.33,5,-9.699,1,0.0329,0.707,0.00381,0.302,0.315,174.431,audio_features,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,3
5QTdOvIF2ehBMZpSIIGzIo,5QTdOvIF2ehBMZpSIIGzIo,some sappy ass shit,Kehlani,True,Honey,2017-10-06,73,0.606,0.24,3,-7.102,1,0.0369,0.772,0,0.0819,0.526,96.792,audio_features,spotify:track:5QTdOvIF2ehBMZpSIIGzIo,4
0VxocBntP1XTZRsR9ZURPS,0VxocBntP1XTZRsR9ZURPS,some sappy ass shit,Daniela Andrade,False,La Vie En Rose,2015-01-28,65,0.475,0.149,4,-11.429,1,0.0395,0.844,0,0.14,0.318,95.423,audio_features,spotify:track:0VxocBntP1XTZRsR9ZURPS,4
5IXTT9RvcVupmzLTFqIInj,5IXTT9RvcVupmzLTFqIInj,some sappy ass shit,St. Vincent,True,New York,2017-10-13,57,0.352,0.443,10,-11.631,1,0.164,0.894,8.81e-05,0.179,0.376,137.949,audio_features,spotify:track:5IXTT9RvcVupmzLTFqIInj,4
1NnguKvzOfFYpEHj0xR7ti,1NnguKvzOfFYpEHj0xR7ti,🌌🌃🏙🌆🌇,Bruno Major,False,Places We Won't Walk,2017-05-31,61,0.388,0.0859,7,-16.061,0,0.0472,0.969,7.35e-05,0.108,0.19,88.253,audio_features,spotify:track:1NnguKvzOfFYpEHj0xR7ti,3
6H6S0juPYrUnOuCygmD0k6,6H6S0juPYrUnOuCygmD0k6,🌌🌃🏙🌆🌇,Sam Kim,False,SEATTLE,2016-04-10,48,0.406,0.145,11,-10.571,1,0.0398,0.97,3.1e-06,0.161,0.346,131.974,audio_features,spotify:track:6H6S0juPYrUnOuCygmD0k6,4
3JBB92odunFru2gOvI91x9,3JBB92odunFru2gOvI91x9,🌌🌃🏙🌆🌇,Wet,False,Don't Wanna Be Your Girl,2014-05-06,63,0.62,0.193,0,-13.404,1,0.0439,0.638,0.0136,0.107,0.155,129.979,audio_features,spotify:track:3JBB92odunFru2gOvI91x9,4
4X8jImpljCdt2eDge8OzoQ,4X8jImpljCdt2eDge8OzoQ,🌌🌃🏙🌆🌇,Tori Kelly,False,Paper Hearts,2013-01-01,58,0.425,0.233,3,-10.89,1,0.0346,0.877,1.23e-06,0.0933,0.232,59.931,audio_features,spotify:track:4X8jImpljCdt2eDge8OzoQ,3
7tSVyj8v1s3YyF7fvkKiOC,7tSVyj8v1s3YyF7fvkKiOC,🌌🌃🏙🌆🌇,Troye Sivan,False,The Good Side,2018-01-18,65,0.448,0.258,2,-16.496,1,0.0698,0.398,0.00334,0.355,0.323,165.81,audio_features,spotify:track:7tSVyj8v1s3YyF7fvkKiOC,3
7Cu2COdH93MnuireuKNiS3,7Cu2COdH93MnuireuKNiS3,🌌🌃🏙🌆🌇,Daniel Caesar,False,Streetcar,2015-11-12,68,0.41,0.298,3,-11.796,1,0.0473,0.721,0.0,0.158,0.142,109.651,audio_features,spotify:track:7Cu2COdH93MnuireuKNiS3,3
4DyfJFTQb27adTDdhFeSgD,4DyfJFTQb27adTDdhFeSgD,🌌🌃🏙🌆🌇,Maggie Rogers,False,Alaska,2017-02-16,65,0.826,0.32,0,-14.073,1,0.0703,0.282,0.0121,0.0899,0.127,104.009,audio_features,spotify:track:4DyfJFTQb27adTDdhFeSgD,4
7cPglGvAJ6NsjBYjxepwwI,7cPglGvAJ6NsjBYjxepwwI,🌌🌃🏙🌆🌇,Kevin Garrett,False,Little Bit of You,2017-01-27,59,0.655,0.328,6,-10.632,1,0.103,0.59,0.0884,0.0856,0.261,89.925,audio_features,spotify:track:7cPglGvAJ6NsjBYjxepwwI,4
0aB7skvtBtbKMOtdd2AzwD,0aB7skvtBtbKMOtdd2AzwD,🌌🌃🏙🌆🌇,Pentatonix,False,Dancing On My Own,2017-08-01,54,0.38,0.344,1,-8.09,1,0.033,0.21,0.0,0.11,0.365,119.978,audio_features,spotify:track:0aB7skvtBtbKMOtdd2AzwD,4
7gmKCaq9O2HToyR9yBLxKd,7gmKCaq9O2HToyR9yBLxKd,🌌🌃🏙🌆🌇,Bruno Major,False,Fair-Weather Friend,2017-05-04,57,0.68,0.34,6,-6.985,1,0.115,0.56,0.0021,0.0705,0.391,131.353,audio_features,spotify:track:7gmKCaq9O2HToyR9yBLxKd,3
5nMkd5cq4JPZqAoQTXv8Wm,5nMkd5cq4JPZqAoQTXv8Wm,🌌🌃🏙🌆🌇,Dua Lipa,False,I'd Rather Go Blind - Live,2017-12-08,61,0.567,0.347,9,-5.533,1,0.0343,0.682,1.32e-06,0.0873,0.348,114.056,audio_features,spotify:track:5nMkd5cq4JPZqAoQTXv8Wm,4
4BokCZjL92n7h7Q1OaTGPf,4BokCZjL92n7h7Q1OaTGPf,🌌🌃🏙🌆🌇,LÉON,False,Liar,2016-12-16,57,0.376,0.355,4,-7.772,1,0.0407,0.597,0.0,0.11,0.37,98.232,audio_features,spotify:track:4BokCZjL92n7h7Q1OaTGPf,4
60EdoQ1Sp6CRWv4r7gz0to,60EdoQ1Sp6CRWv4r7gz0to,🌌🌃🏙🌆🌇,WESLEE,False,Boys Cry,2018-06-08,36,0.785,0.272,0,-10.56,1,0.0683,0.629,0.00271,0.0774,0.382,119.884,audio_features,spotify:track:60EdoQ1Sp6CRWv4r7gz0to,4
6RiTkSaOOmFeafQMXeMkVr,6RiTkSaOOmFeafQMXeMkVr,🌌🌃🏙🌆🌇,Reva DeVito,False,DEEPER - prod. BIRTHDAY BOY,2016-09-30,42,0.551,0.369,2,-11.291,0,0.487,0.286,1.99e-06,0.0835,0.297,95.309,audio_features,spotify:track:6RiTkSaOOmFeafQMXeMkVr,4
6EzSYsuIZvfUu81OjctbBt,6EzSYsuIZvfUu81OjctbBt,🌌🌃🏙🌆🌇,Daniel Caesar,False,We Find Love,2017-06-09,51,0.52,0.367,5,-8.776,1,0.0299,0.831,0.0,0.109,0.358,77.957,audio_features,spotify:track:6EzSYsuIZvfUu81OjctbBt,4
4bXCcoesMt8u99xMsbLr9U,4bXCcoesMt8u99xMsbLr9U,🌌🌃🏙🌆🌇,Taylor Swift,False,Clean,2014-10-27,54,0.811,0.376,4,-7.833,1,0.0351,0.226,0.0,0.0996,0.254,103.973,audio_features,spotify:track:4bXCcoesMt8u99xMsbLr9U,4
6a5xI87SEuxoeX6riFYEjM,6a5xI87SEuxoeX6riFYEjM,🌌🌃🏙🌆🌇,Wet,False,It's All in Vain,2016-01-29,61,0.703,0.387,0,-9.793,1,0.039,0.598,6.85e-05,0.103,0.298,120.044,audio_features,spotify:track:6a5xI87SEuxoeX6riFYEjM,4
3oYBUCvJZl42lU7H4CsEL3,3oYBUCvJZl42lU7H4CsEL3,🌌🌃🏙🌆🌇,Kevin Garrett,False,The Way I Keep Myself Together,2017-02-03,49,0.334,0.404,9,-9.719,1,0.0938,0.359,9.29e-05,0.205,0.21,169.404,audio_features,spotify:track:3oYBUCvJZl42lU7H4CsEL3,3
4VPpZXXeZHfpzvHNaPjLcF,4VPpZXXeZHfpzvHNaPjLcF,🌌🌃🏙🌆🌇,Lianne La Havas,False,Green & Gold,2015-07-31,48,0.7,0.4,7,-8.46,1,0.0465,0.212,0.000321,0.55,0.28,93.959,audio_features,spotify:track:4VPpZXXeZHfpzvHNaPjLcF,4
7keRsHHqmuFRv8agWvaYxE,7keRsHHqmuFRv8agWvaYxE,🌌🌃🏙🌆🌇,Etta James,False,I'd Rather Go Blind,1968-08-21,57,0.539,0.398,9,-6.513,1,0.0253,0.661,0.000519,0.191,0.588,81.579,audio_features,spotify:track:7keRsHHqmuFRv8agWvaYxE,3
5JTAGruCIDyRLhKLwFkTnS,5JTAGruCIDyRLhKLwFkTnS,🌌🌃🏙🌆🌇,Michl,False,Die Trying,2016-05-10,68,0.424,0.356,6,-8.374,1,0.0777,0.792,0.0,0.148,0.0738,125.41,audio_features,spotify:track:5JTAGruCIDyRLhKLwFkTnS,4
617t7JMMmEkqS2n9h96DQa,617t7JMMmEkqS2n9h96DQa,🌌🌃🏙🌆🌇,Sabrina Claudio,False,I Don't,2017-03-02,52,0.593,0.415,4,-9.504,0,0.0407,0.318,0.000325,0.146,0.393,75.999,audio_features,spotify:track:617t7JMMmEkqS2n9h96DQa,4
4VqJipc8kIFseGlVNKlv0W,4VqJipc8kIFseGlVNKlv0W,🌌🌃🏙🌆🌇,Thirdstory,True,Searching For A Feeling,2016-05-06,40,0.358,0.445,2,-9.572,1,0.133,0.098,7.22e-06,0.111,0.159,84.197,audio_features,spotify:track:4VqJipc8kIFseGlVNKlv0W,3
2d9hKKKQmGxcknyMIgLVmQ,2d9hKKKQmGxcknyMIgLVmQ,🌌🌃🏙🌆🌇,Sabrina Claudio,False,Too Much Too Late,2017-03-02,61,0.62,0.447,10,-8.609,1,0.104,0.216,6.19e-05,0.144,0.324,92.072,audio_features,spotify:track:2d9hKKKQmGxcknyMIgLVmQ,4
2kJqNHHGOzLNahukdvlDWN,2kJqNHHGOzLNahukdvlDWN,🌌🌃🏙🌆🌇,Oh Wonder,False,Drive,2015-09-04,66,0.658,0.447,9,-8.315,1,0.0987,0.755,3.67e-06,0.0828,0.397,141.742,audio_features,spotify:track:2kJqNHHGOzLNahukdvlDWN,4
1crSsvtU9wZB15dIQXV2QH,1crSsvtU9wZB15dIQXV2QH,🌌🌃🏙🌆🌇,John Mayer,False,Moving On and Getting Over,2017-04-14,64,0.85,0.461,6,-9.018,0,0.0539,0.591,0.0409,0.1,0.628,94.038,audio_features,spotify:track:1crSsvtU9wZB15dIQXV2QH,4
0pSoWKkENrfHURYB1BXdQd,0pSoWKkENrfHURYB1BXdQd,🌌🌃🏙🌆🌇,The Knocks,False,Classic (feat. POWERS) - POWERS Sunset Version,2016-04-28,35,0.235,0.481,2,-8.212,1,0.0583,0.0299,1.44e-05,0.0539,0.0949,74.995,audio_features,spotify:track:0pSoWKkENrfHURYB1BXdQd,1
77KnJc8o5G1eKVwX5ywMeZ,77KnJc8o5G1eKVwX5ywMeZ,🌌🌃🏙🌆🌇,Young the Giant,False,Mind Over Matter - Reprise,2015-04-18,43,0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,0.3,151.958,audio_features,spotify:track:77KnJc8o5G1eKVwX5ywMeZ,4
3MHFSTL6II589k26H9Qk1e,3MHFSTL6II589k26H9Qk1e,🌌🌃🏙🌆🌇,WESLEE,False,Tongue Tied,2018-01-19,48,0.674,0.491,5,-7.551,1,0.067,0.0527,2.96e-05,0.118,0.677,69.04,audio_features,spotify:track:3MHFSTL6II589k26H9Qk1e,4
0elXIl26ZrovBULLTrEGK6,0elXIl26ZrovBULLTrEGK6,🌌🌃🏙🌆🌇,Jaymes Young,False,Habits Of My Heart,2014-09-28,67,0.392,0.498,9,-7.63,0,0.117,0.665,0.000118,0.34,0.59,72.048,audio_features,spotify:track:0elXIl26ZrovBULLTrEGK6,4
7vfaRUaFBDwENwa3tzJY64,7vfaRUaFBDwENwa3tzJY64,🌌🌃🏙🌆🌇,King Princess,True,Upper West Side,2018-06-15,65,0.635,0.496,9,-8.858,1,0.0338,0.277,0.00634,0.081,0.733,141.863,audio_features,spotify:track:7vfaRUaFBDwENwa3tzJY64,4
2BNkTvg1kHAAfGvqh56x5a,2BNkTvg1kHAAfGvqh56x5a,🌌🌃🏙🌆🌇,Lauv,False,Getting Over You,2018-02-14,62,0.604,0.507,0,-7.928,1,0.0382,0.273,2.27e-06,0.0943,0.114,91.984,audio_features,spotify:track:2BNkTvg1kHAAfGvqh56x5a,4
4JLvbX8iq3q6Ow08vFLeHY,4JLvbX8iq3q6Ow08vFLeHY,🌌🌃🏙🌆🌇,Sabrina Claudio,False,Runnin' Thru Lovers,2017-03-02,52,0.499,0.506,1,-10.047,1,0.0678,0.292,0.0,0.169,0.255,139.928,audio_features,spotify:track:4JLvbX8iq3q6Ow08vFLeHY,4
39Q20GZHKK0IK8oKkhfxiJ,39Q20GZHKK0IK8oKkhfxiJ,🌌🌃🏙🌆🌇,Sam Smith,False,One Last Song,2017-11-03,66,0.672,0.521,1,-6.445,1,0.0273,0.39,0.0,0.337,0.443,103.267,audio_features,spotify:track:39Q20GZHKK0IK8oKkhfxiJ,3
7cXVd648oUKRqH1YS1GXUO,7cXVd648oUKRqH1YS1GXUO,🌌🌃🏙🌆🌇,Saro,False,Rampart,2016-12-02,40,0.635,0.52,5,-5.622,1,0.0316,0.476,2.94e-06,0.0776,0.369,115.059,audio_features,spotify:track:7cXVd648oUKRqH1YS1GXUO,4
12GEpg2XOPyqk03JZEZnJs,12GEpg2XOPyqk03JZEZnJs,🌌🌃🏙🌆🌇,Kygo,False,It Ain’t Me (with Selena Gomez),2017-02-17,72,0.648,0.532,0,-6.597,1,0.0746,0.0905,0.0,0.0831,0.487,99.983,audio_features,spotify:track:12GEpg2XOPyqk03JZEZnJs,4
5T9G49pXWTV7SHMSksvfL4,5T9G49pXWTV7SHMSksvfL4,🌌🌃🏙🌆🌇,Nick Jonas,True,Remember I Told You,2017-05-26,60,0.651,0.54,1,-5.739,1,0.274,0.145,4.99e-06,0.0371,0.801,112.861,audio_features,spotify:track:5T9G49pXWTV7SHMSksvfL4,4
7CNRVEMSXo0fRJwZyM0L2n,7CNRVEMSXo0fRJwZyM0L2n,🌌🌃🏙🌆🌇,ZHU,False,Hometown Girl,2016-07-29,60,0.514,0.582,6,-8.835,1,0.101,0.0209,0.0835,0.0937,0.621,99.996,audio_features,spotify:track:7CNRVEMSXo0fRJwZyM0L2n,4
48Wgf1reAazBSbh3XmcwwI,48Wgf1reAazBSbh3XmcwwI,🌌🌃🏙🌆🌇,Pitch Slapped,False,Princess of China,2017-04-20,29,0.396,0.592,9,-7.046,0,0.0339,0.311,1.96e-05,0.105,0.386,82.729,audio_features,spotify:track:48Wgf1reAazBSbh3XmcwwI,4
